liquidity,sqrtPrice,token0Price,token1Price,volumeToken0,volumeToken1,volumeUSD,periodStartUnix
8166953267671858646,3993549382631567421606150,0.0003935872753344682286857099550500151,2540.732545660186005477191550257535,0,0,0,1622574000
8429197832457868924,4012691836140449473582206,0.0003898410344064008493955554238009667,2565.148128961513121691087356792907,0,0,0,1622577600
8112161013099534272,4031072946192567518616196,0.0003862939025392720869688799524272888,2588.702522681771425042575050583586,0,0,0,1622581200
8253709018903593723,4028552745635935358147126,0.0003867773727504946522093847971613433,2585.466654599486503200597697739774,0,0,0,1622584800
9881098408221896209,4065785788970907492525040,0.000379725865253761682633401437617517,2633.478757976425965075046967149898,0,0,0,1622588400
8257032112188135642,4035823997762382431783287,0.0003853849322887901297506631886788619,2594.808245514500266190419622239451,0,0,0,1622592000
8456300708054442447,4023256778192282868711862,0.0003877963027640402087123712602292434,2578.673372779583282515295492392564,0,0,0,1622595600
8436529536195409882,4044168260190819175537571,0.0003837962567933519497169303004656375,2605.549122221980518230890272543228,0,0,0,1622599200
8546168073356003580,4054410947701605764940548,0.0003818595317858360186859343068359815,2618.764013361973447407884432757022,0,0,0,1622602800
10466684021750858910,4062650509628127813869239,0.0003803121849729641474940526741958025,2629.418776237970335372605221745579,0,0,0,1622606400
10464930405583507528,4067749275450467063075343,0.0003793593693829310496830695770227204,2636.0229394798075193876303552955,0,0,0,1622610000
10515316282253052401,4070318375176490814857332,0.0003788806331344209711000542144170222,2639.353697567369491003979066738688,0,0,0,1622613600
8353342576337253775,4112179682129613219612166,0.0003712060121860431300385281468421197,2693.921884807227584641522765994152,0,0,0,1622617200
8392456077031461724,4118190929399972441363315,0.0003701231179779274724097008105076218,2701.80367404025715610345986039848,0,0,0,1622620800
8390445038656739724,4111494857128971853562821,0.0003713296812346586101837640187256485,2693.024690822004527187654628996892,0,0,0,1622624400
9232238477874735147,4103078640745032494512557,0.0003728545830996946594550341130733106,2682.010749838678666959263961845934,0,0,0,1622628000
9245200657011903677,4108675000906151728642446,0.0003718395563805210273549992721575302,2689.331952022481015219854424101581,0,0,0,1622631600
8490318303780509405,4122812893609808243586583,0.0003692937148770423503451982230505508,2707.871701344696700197275890996278,0,0,0,1622635200
8445205479004175122,4145064487294459768866920,0.0003653394616160192355040311862340142,2737.180362550116768320381778156786,0,0,0,1622638800
